FMNH #,Coll. #,Taxon,Site/Location,Date coll (text): (Collection Details)/Date Coll (verb): (Collection Details),Date coll (min): (Collection Details)/Date Coll: (Collection Details),Date coll (max): (Collection Details),Collector: (Collection Details)/Collector: (Specimen Details),Type Status: (Reference #'s)/Type Status: (Identification),Status: (Reference #'s)/Fate: (Collection Details)/Status: (Specimen Custody),Collection Notes/Collection Notes: (Notes)/Collection Notes: (Collection Details),Notes: (Note Details),Sex: (Reference #'s)/Sex: (Identification)
207310,AR 52,Anolis pulchellus,"North America, Puerto Rico, Toa Baja Municipality: 1 mi N Dorado, Costa del Oro Urbanization",,28 Dec 1977,,"Alan Resetar, Michael Evans",,,,"12 AM, 75_. Disturbed lowlands. Found on small banana plants, etc. Dewlap bright orange-red.",
207311,AR 53,Anolis pulchellus,"North America, Puerto Rico, Toa Baja Municipality: 1 mi N Dorado, Costa del Oro Urbanization",,28 Dec 1977,,"Alan Resetar, Michael Evans",,,,"12 AM, 75_. Disturbed lowlands. Found on small banana plants, etc. Dewlap bright orange-red.",
207312,AR 54,Anolis pulchellus,"North America, Puerto Rico, Toa Baja Municipality: 1 mi N Dorado, Costa del Oro Urbanization",,28 Dec 1977,,"Alan Resetar, Michael Evans",,,,"12 AM, 75_. Disturbed lowlands. Found on small banana plants, etc. Dewlap bright orange-red.",
211353,2337,Anolis pulchellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,08 Feb 1979,,A. R. Resetar,,,,,
211354,2338,Anolis pulchellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,08 Feb 1979,,A. R. Resetar,,,,,
211355,2339,Anolis pulchellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,08 Feb 1979,,A. R. Resetar,,,,,
211356,2353,Anolis pulchellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,09 Feb 1979,,A. R. Resetar,,,,Red dewlap.,
211357,2354,Anolis pulchellus,"North America, Puerto Rico: Barrio Candelaria, near Lajas",,09 Feb 1979,,A. R. Resetar,,,,Red dewlap.,
211358,2355,Anolis pulchellus,"North America, Puerto Rico: Barrio Candelaria, near Lajas",,09 Feb 1979,,A. R. Resetar,,,,Red dewlap.,
211359,2361,Anolis pulchellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,10 Feb 1979,,A. R. Resetar,,,,Red dewlap.,
211360,2362,Anolis pulchellus,"North America, Puerto Rico: Barrio Candelaria, near Lajas",,10 Feb 1979,,A. R. Resetar,,,,Red dewlap.,
211361,2363,Anolis pulchellus,"North America, Puerto Rico: Barrio Candelaria, near Lajas",,10 Feb 1979,,A. R. Resetar,,,,Red dewlap.,
211362,2364,Anolis pulchellus,"North America, Puerto Rico: Barrio Candelaria, near Lajas",,10 Feb 1979,,A. R. Resetar,,,,Red dewlap.,
211363,2366,Anolis pulchellus,"North America, Puerto Rico: Guanica, Highway 344, Barrio Luna",,04 Feb 1979,,A. R. Resetar,,,,Red dewlap.,
244498,REG 606,Anolis pulchellus,"North America, Puerto Rico: Vieques Island",, Sep 1951,,W. P. Couch,,,,,
12416,89,Anolis stratulus,"North America, Puerto Rico: Rio Piedras",,03 Jan 1924,,S. T. Danforth,,,,,
12417,90,Anolis stratulus,"North America, Puerto Rico: Rio Piedras",,03 Jan 1924,,S. T. Danforth,,,,,
12418,105,Anolis stratulus,"North America, Puerto Rico: Desengano",,11 Jan 1924,,S. T. Danforth,,,,,
12419,101,Anolis stratulus,"North America, Puerto Rico: Desengano",,08 Apr 1924,,S. T. Danforth,,,,,
12420,54,Anolis stratulus,"North America, Puerto Rico: Mayaguez",,20 Dec 1923,,S. T. Danforth,,,,,
12421,55,Anolis stratulus,"North America, Puerto Rico: Mayaguez",,20 Dec 1923,,S. T. Danforth,,,,,
12422,56,Anolis stratulus,"North America, Puerto Rico: Mayaguez",,20 Dec 1923,,S. T. Danforth,,,,,
12424,58,Anolis stratulus,"North America, Puerto Rico: Mayaguez",,20 Dec 1923,,S. T. Danforth,,,,,
12425,59,Anolis stratulus,"North America, Puerto Rico: Mayaguez",,20 Dec 1923,,S. T. Danforth,,,,,
12427,61,Anolis stratulus,"North America, Puerto Rico: Mayaguez",,20 Dec 1923,,S. T. Danforth,,,,,
12428,62,Anolis stratulus,"North America, Puerto Rico: Mayaguez",,20 Dec 1923,,S. T. Danforth,,,,,
12429,63,Anolis stratulus,"North America, Puerto Rico: Mayaguez",,20 Dec 1923,,S. T. Danforth,,,,,
12430,64,Anolis stratulus,"North America, Puerto Rico: Mayaguez",,20 Dec 1923,,S. T. Danforth,,,,,
12433,67,Anolis stratulus,"North America, Puerto Rico: Mayaguez",,20 Dec 1923,,S. T. Danforth,,,,,
12434,68,Anolis stratulus,"North America, Puerto Rico: Mayaguez",,20 Dec 1923,,S. T. Danforth,,,,,
12436,70,Anolis stratulus,"North America, Puerto Rico: Mayaguez",,20 Dec 1923,,S. T. Danforth,,,,,
12441,25,Anolis stratulus,"North America, Puerto Rico: Mayaguez",,20 Dec 1927,,S. T. Danforth,,,,,
12442,26,Anolis stratulus,"North America, Puerto Rico: Mayaguez",,20 Dec 1927,,S. T. Danforth,,,,,
12443,27,Anolis stratulus,"North America, Puerto Rico: Mayaguez",,20 Dec 1927,,S. T. Danforth,,,,,
12444,28,Anolis stratulus,"North America, Puerto Rico: Mayaguez",,20 Dec 1927,,S. T. Danforth,,,,,
12445,29,Anolis stratulus,"North America, Puerto Rico: Mayaguez",,20 Dec 1927,,S. T. Danforth,,,,,
12446,29,Anolis stratulus,"North America, Puerto Rico: Mayaguez",,20 Dec 1927,,S. T. Danforth,,,,,
38565,,Anolis stratulus,"North America, Puerto Rico: Rio Piedras",,,,H. Trapido,,,,,
38566,,Anolis stratulus,"North America, Puerto Rico: Rio Piedras",,,,H. Trapido,,,,,
38567,,Anolis stratulus,"North America, Puerto Rico",,,,H. Trapido,,,,,
130200,H61-119,Anolis stratulus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130201,H61-20,Anolis stratulus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,19 May 1961,,Juanita,,,,,
130202,H61-75,Anolis stratulus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130203,H61-23,Anolis stratulus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,19 May 1961,,Juanita,,,,,
130204,H61-220,Anolis stratulus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130205,H61-22,Anolis stratulus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,19 May 1961,,Juanita,,,,,
130206,H61-68,Anolis stratulus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130207,H61-93,Anolis stratulus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130208,H61-104,Anolis stratulus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130209,H61-189,Anolis stratulus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130250,H61-191,Anolis stratulus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
133301,H62-107,Anolis stratulus,"North America, Puerto Rico: San German, Interamerican Univ campus",,18 Jun 1962,,Fred's friends,,,,,
133306,H62-88,Anolis stratulus,"North America, Puerto Rico: San German, Interamerican Univ greenhouse",,15 Jun 1962,,F. S. Velez,,,,,
166379,1,Anolis stratulus,"North America, Puerto Rico: Rio Piedras, Dos Pinos Ext, Calle Cisne #804",,22 Jun 1961,,E. M. Nelson,,,,,
166380,4,Anolis stratulus,"North America, Puerto Rico: San Juan",,22 Jun 1961,,E. M. Nelson,,,,In process of shedding.,
211383,2282,Anolis stratulus,"North America, Puerto Rico: Reserva Forestal Susua, along Rio Loco",,03 Feb 1979,,A. R. Resetar,,,,Dry uplands.,
211384,2285,Anolis stratulus,"North America, Puerto Rico: Reserva Forestal Susua",,03 Feb 1979,,A. R. Resetar,,,,Dry uplands.,
211385,2381,Anolis stratulus,"North America, Puerto Rico: Reserva Forestal Maricao, on Hwy 362, 3 mi from intersection with Hwy 102",,11 Feb 1979,,A. R. Resetar,,,,"Probably young female of above; dewlap small, brown.",
211386,2431,Anolis stratulus,"North America, Puerto Rico: Reserva Forestal Maricao, Bosque Estatal de Monte del Estado, Area de Recreo Merendoros, ""Lookout"" area",,12 Feb 1979,,A. R. Resetar,,,,"Pine woods, high alt.",
211447,2304,Anolis stratulus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,07 Feb 1979,,A. R. Resetar,,,,,
244499,REG 605,Anolis stratulus,"North America, Puerto Rico: Vieques Island",, Sep 1951,,W. P. Couch,,,,,
