FMNH #,Coll. #,Taxon,Site/Location,Date coll (text): (Collection Details)/Date Coll (verb): (Collection Details),Date coll (min): (Collection Details)/Date Coll: (Collection Details),Date coll (max): (Collection Details),Collector: (Collection Details)/Collector: (Specimen Details),Type Status: (Reference #'s)/Type Status: (Identification),Status: (Reference #'s)/Fate: (Collection Details)/Status: (Specimen Custody),Collection Notes/Collection Notes: (Notes)/Collection Notes: (Collection Details),Notes: (Note Details),Sex: (Reference #'s)/Sex: (Identification)
211494,2384,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Maricao, on Hwy 362, 3 mi from intersection with Hwy 102",,11 Feb 1979,,A. R. Resetar,,,,Dewlap small brown; prob. young female of above.,
211495,2385,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Maricao, on Hwy 362, 3 mi from intersection with Hwy 102",,11 Feb 1979,,A. R. Resetar,,,,Dewlap small brown; prob. young female of above.,
211496,2393,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Maricao, Hwy 120, just outside of Centro Vocacional, Bosque Maricao",,12 Feb 1979,,A. R. Resetar,,,,Dewlap greenish yellow merging into orange bordered on outer edge by white.,
211497,2394,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Maricao, Hwy 120, just outside of Centro Vocacional, Bosque Maricao",,12 Feb 1979,,A. R. Resetar,,,,Dewlap greenish yellow merging into orange bordered on outer edge by white.,
211498,2395,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Maricao, Hwy 120, just outside of Centro Vocacional, Bosque Maricao",,12 Feb 1979,,A. R. Resetar,,,,Brownish dewlap.,
211499,2252,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Susua",,03 Feb 1979,,A. R. Resetar,,,,,
211500,2253,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Susua",,03 Feb 1979,,A. R. Resetar,,,,,
211501,2260,Anolis cristatellus cristatellus,"North America, Puerto Rico: Barrio Cotui, near Lajas",,29 Jan 1979,,A. R. Resetar,,,,,
211502,2261,Anolis cristatellus cristatellus,"North America, Puerto Rico: Barrio Cotui, near Lajas",,29 Jan 1979,,A. R. Resetar,,,,,
211503,2262,Anolis cristatellus cristatellus,"North America, Puerto Rico: Barrio Cotui, near Lajas",,29 Jan 1979,,A. R. Resetar,,,,,
