"","site","recordedBy","lat","long","uncertainty","species","Nindividuals","year","Elev","basisOfRecord","alt","pt.alt"
"101","Herrera Montes Site I2","Adriana Herrera Montes",18.338606,-65.741535,500,"evermanni",1,2006,NA,"sight",207.673687419302,236.669528304387
"102","Herrera Montes Site I2","Adriana Herrera Montes",18.338606,-65.741535,500,"gundlachi",1,2006,NA,"sight",207.673687419302,236.669528304387
"103","Herrera Montes Site I2","Adriana Herrera Montes",18.338606,-65.741535,500,"stratulus",1,2006,NA,"sight",207.673687419302,236.669528304387
"104","Herrera Montes Site I3","Adriana Herrera Montes",18.349204,-65.736312,500,"cristatellus",1,2006,NA,"sight",63.1516601945881,70.7049306002335
"105","Herrera Montes Site I3","Adriana Herrera Montes",18.349204,-65.736312,500,"gundlachi",1,2006,NA,"sight",63.1516601945881,70.7049306002335
"106","Herrera Montes Site I3","Adriana Herrera Montes",18.349204,-65.736312,500,"pulchellus",1,2006,NA,"sight",63.1516601945881,70.7049306002335
"107","Herrera Montes Site I3","Adriana Herrera Montes",18.349204,-65.736312,500,"stratulus",1,2006,NA,"sight",63.1516601945881,70.7049306002335
"108","Herrera Montes Site J1","Adriana Herrera Montes",18.352313,-65.735603,500,"krugi",1,2006,NA,"sight",49.4446785697443,57.1277698185808
"109","Herrera Montes Site J1","Adriana Herrera Montes",18.352313,-65.735603,500,"pulchellus",1,2006,NA,"sight",49.4446785697443,57.1277698185808
"110","Herrera Montes Site J2","Adriana Herrera Montes",18.345664,-65.726318,500,"cristatellus",1,2006,NA,"sight",41.8630824851912,28.5353146783097
"111","Herrera Montes Site J2","Adriana Herrera Montes",18.345664,-65.726318,500,"pulchellus",1,2006,NA,"sight",41.8630824851912,28.5353146783097
"112","Herrera Montes Site J2","Adriana Herrera Montes",18.345664,-65.726318,500,"stratulus",1,2006,NA,"sight",41.8630824851912,28.5353146783097
"113","Herrera Montes Site J4","Adriana Herrera Montes",18.344882,-65.732978,500,"cristatellus",1,2006,NA,"sight",64.4045481607719,100.792861219813
"114","Herrera Montes Site J4","Adriana Herrera Montes",18.344882,-65.732978,500,"pulchellus",1,2006,NA,"sight",64.4045481607719,100.792861219813
"115","Herrera Montes Site J4","Adriana Herrera Montes",18.344882,-65.732978,500,"stratulus",1,2006,NA,"sight",64.4045481607719,100.792861219813
"116","Herrera Montes Site P1","Adriana Herrera Montes",18.353859,-65.730763,500,"pulchellus",1,2006,NA,"sight",42.277249207405,30.4475615770254
"117","Herrera Montes Site P3","Adriana Herrera Montes",18.350207,-65.742566,500,"cristatellus",1,2006,NA,"sight",74.8825594274197,70.8967640295208
"118","Herrera Montes Site P3","Adriana Herrera Montes",18.350207,-65.742566,500,"gundlachi",1,2006,NA,"sight",74.8825594274197,70.8967640295208
"119","Herrera Montes Site P3","Adriana Herrera Montes",18.350207,-65.742566,500,"krugi",1,2006,NA,"sight",74.8825594274197,70.8967640295208
"120","Herrera Montes Site P3","Adriana Herrera Montes",18.350207,-65.742566,500,"pulchellus",1,2006,NA,"sight",74.8825594274197,70.8967640295208
"121","Herrera Montes Site P3","Adriana Herrera Montes",18.350207,-65.742566,500,"stratulus",1,2006,NA,"sight",74.8825594274197,70.8967640295208
